run ,opt_ch,file_start,file_end,otp_ch_list
1067,1,1,5,0
1067,2,6,11,1
1067,3,12,15,2
1069,3,1,5,3
1069,4,6,11,4
1069,5,12,17,5
1069,6,18,24,6
1069,7,25,30,7
1069,8,31,36,8
1069,9,37,42,9
1069,10,43,48,10
1069,11,49,54,11
1069,12,55,60,12
1069,13,61,67,13
1069,14,68,75,14
1069,15,76,81,15
1069,16,82,87,16
1069,17,88,94,17
1069,41,95,100,18
1069,6,101,105,5
1072,1,1,6,0
1077,2,1,8,1
1077,3,9,14,2
1077,4,15,20,3
1077,5,21,26,4
1077,6,27,33,5
1077,7,34,39,6
1077,8,40,45,7
1077,9,46,51,8
1077,10,52,58,9
1077,11,59,64,10
1077,12,65,70,11
1077,13,71,77,12
1077,14,78,83,13
1077,15,84,91,14
1077,16,92,97,15
1077,17,98,103,16
1077,41,104,110,17
1078,1,1,8,0
1079,2,1,6,1
1079,3,7,12,2
1079,4,13,18,3
1079,5,19,26,4
1079,6,27,32,5
1079,7,33,38,6
1079,8,39,44,7
1079,9,45,50,8
1079,10,51,56,9
1079,11,57,62,10
1079,12,63,68,11
1079,13,69,74,12
1079,14,75,81,13
1079,15,82,89,14
1079,16,90,96,15
1079,17,97,104,16
1079,41,105,113,17
1085,19,1,6,0
1085,20,7,13,1
1085,21,14,20,2
1085,22,21,26,3
1085,23,27,33,4
1085,24,34,42,5
1088,19,1,12,0
1088,20,13,18,1
1088,21,19,24,2
1088,22,25,30,3
1088,23,31,36,4
1088,24,37,43,5
1088,25,44,50,6
1088,26,51,56,7
1088,27,57,62,8
1088,28,63,68,9
1088,29,69,75,10
1088,30,76,81,11
1088,31,82,91,12
1088,32,92,97,13
1088,33,98,103,14
1088,34,104,109,15
1088,35,110,113,16
1089,35,1,4,16
1089,36,5,10,17
1090,19,1,6,0
1090,20,7,12,1
1090,21,13,18,2
1090,22,19,24,3
1090,23,25,30,4
1090,24,31,36,5
1090,25,37,43,6
1090,26,44,49,7
1090,27,50,56,8
1090,28,57,62,9
1090,29,63,68,10
1090,30,69,74,11
1090,31,75,81,12
1090,32,82,87,13
1090,33,88,93,14
1090,34,94,100,15
1090,35,101,106,16
1090,36,107,102,17
1091,19,1,5,0
1091,20,6,12,1
1091,21,13,18,2
1091,22,19,24,3
1091,23,25,30,4
1091,24,31,37,5
1091,25,38,44,6
1091,26,45,50,7
1091,27,51,56,8
1091,28,57,64,9
1091,29,65,70,10
1091,30,71,76,11
1091,31,77,84,12
1091,32,85,90,13
1091,33,91,96,14
1091,34,97,102,15
1091,35,103,108,16
1091,36,109,114,17
